docnumber,labels
doc2 label65,Prior Chemotherapy before enroll in the study yes 1 no 0 0 1
doc2 label66,Primary Surgical Therapy yes1 no 0 0 1
doc2 label67,Primary radiation Therapy yes1 no 0 0 1
doc2 label68,Primary chemotherapy yes1 no 0 0 1
doc2 label69,Post Surgery Chemotherapy yes1 no 0 0 1
doc2 label70,Post Surgery Radiotherapy yes1 no 0 0 1
doc2 label71,Recc#1 0 no 1 Yes  0 1
doc2 label72,Date1st Recc 
doc2 label73,Site Local 0 no 1 Yes  0 1
doc2 label74,Site Regional 0 no 1 Yes  0 1
doc2 label75,Site Distant 0 no 1 Yes  0 1
doc2 label76,Rx Sur 0 no 1 Yes  0 1
doc2 label77,Rx Chemotherapy 0 no 1 Yes  0 1
doc2 label78,Rx Radiotherapy 0 no 1 Yes  0 1
doc2 label79,Recc#2 0 no 1 Yes  0 1
doc2 label80,Date2nd Recc 
doc2 label81,Site Local 0 no 1 Yes  0 1
doc2 label82,Site Regional 0 no 1 Yes  0 1
doc2 label83,Site Distant 0 no 1 Yes  0 1
doc2 label84,Rx Surgery 0 no 1 Yes  0 1
doc2 label85,Rx chemotherapy 0 no 1 Yes 0 1
doc2 label86,Rx Radiotherapy 0 no 1 Yes  0 1
doc2 label87,Recc#3 0 no 1 Yes   0 1
doc2 label88,Date 3rd Recc 
doc2 label89,Site Local 0 no 1 Yes  0 1
doc2 label90,Site Regional 0 no 1 Yes  0 1
doc2 label91,Site Distant 0 no 1 Yes  0 1
doc2 label92,Rx Surgery 0 no 1 Yes  0 1
doc2 label93,RxChemotherapy 0 no 1 Yes  0 1
doc2 label94,Rx Radiotherapy 0 no 1 Yes  0 1
doc2 label95,Patient 
doc3 label96,Age years 
doc3 label97,Age class 0 1
doc3 label98,Sex  1 male 2 female  1 2
doc3 label99, localization code  
doc3 label100, localization class 1 2 3 4
doc3 label101, pathological  T 1 2 3 4
doc3 label102,pathological lymph  node stage 1 2 3 4
doc3 label103,pathological lymph node status 0 1
doc3 label104,pathological stage 1 2 3 4
doc3 label105,differentiation 1 2 3 4
doc3 label106,HPV status 1 0
doc3 label107,post surgical treatment RX CT 
doc3 label108,clinical follow up  months  
doc3 label109,recurrence status  1 M 0 NM  1 0
doc3 label110,distant metastasis-free survival  month  
doc3 label111,Actual status  1 alive 0 dead 1 0
doc3 label112,Overall survival months 
doc3 label113,Affymetrix data 1 yes 0 no 1 0
doc3 label114,CGH data 1 yes 0 no 1 0
doc3 label115,RTPCR data  1 yes 0 no 1 0
doc3 label116,Patients included in prediction study  1 yes 0 no 1 0
doc3 label117,4-gene prediction status 1 high risk  0 low risk 1 0
doc3 label118,4-genes prediction score 
doc3 label119,Affymetrix sample sets 81 cases figure 1 S1 S2 S3
doc3 label120,RTP-CR  sample sets 134 cases S1 S2 S3
doc3 label121,Filename 
doc4 label122,Tu-vs-NL cancer
doc4 label123,Age Dx 
doc4 label124,Gender Male Female
doc4 label125,Smoking Status current neversmoker former 
doc4 label126,OC vs. OP oral cavity Oropharynx
doc4 label127,T stage 1 2 3 4
doc4 label128,cN stage 0 1 2 2b 2c 
doc4 label129,pN stage 0 1 2b 2c
doc4 label130,DM? 0
doc4 label131,ecs y n
doc4 label132,treatment S cRT RT IC
doc4 label133,dxdate 
doc4 label134,txdate 
doc4 label135,localrecur 0 1
doc4 label136,locrecurdt 
doc4 label137,nodalrecur 0 1
doc4 label138,nodrecurdt 
doc4 label139,DM? 
doc4 label140,DM date? 
doc4 label141,survivallastfollowup dead unknown disease living NED died treatment due to with other cause no 
doc4 label142,vital dead other oscc unknown alive
doc4 label143,lastfudt 
doc4 label144,futime 
doc4 label145,ajcc4 1 2 3 4
doc4 label146,ajcc2 0 1 
doc4 label147,OSCCdeath 0 1 
doc4 label148,alldeath 0 1 
doc4 label149,Mainidentification 
doc5 label150,Cellfile identification 
doc5 label151,Tissue type primary tumour normal mucosa 
doc5 label152,Gender m f
doc5 label153,Age at major operation 
doc5 label154,Centre manchester oxford 
doc5 label155,Primary orrecurrence primary
doc5 label156,Anatomic Region op other oc l hy 
doc5 label157,Site tonsil paransal sinu anterior tongue posterior supraglottis floor mouth hypopharynx piriform fossa subglottus
doc5 label158,Sidentificatione 2a 0 2b 1 2c 
doc5 label159,Clin.Tstage 1 2 3 4
doc5 label160,Clin.Nstage 0 1 2a 2b 2c
doc5 label161,Nature of operation 
doc5 label162,Previous site 
doc5 label163,Previous stage 
doc5 label164,Previous surgery 
doc5 label165,Previous DXT 
doc5 label166,Previous chemo 
doc5 label167,Previous disease notes 
doc5 label168,Smoke never smoked ex current start stop
doc5 label169,Alcohol no alchohol never heavy currently 
