docnumber,label,labels_coll
doc1 label18,tumor subsite,"tumor  BRAIN 596 
2   CELLS 296 
3   GROWTH 156 
4   SIZE 100 
5   CELL 74 
6   PATIENT 66 
7   CANCER 65 
8   TUMOR 58 
9   SURGERY 52 
10   stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 51 
11    subsite  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLEvisitors treatment explorer HP L OC OP Unknown  NUMBER 215 
2   FEAR 174 
3   REASONS 157 
4   ARTIST 148 
5   CAUSE 146 
6   MAN 146 
7   PEOPLE 134 
8   WORLD 123 
9   TIME 113 
10   ORIGIN Primary   CARE 2208 
2   SCHOOL 942 
3   SOURCE 779 
4   GOAL 723 
5   REPUBLICAN 695 
6   EDUCATION 626 
7   FOCUS 594 
8   CONCERN 564 
9   PURPOSE 546 
10   REASON"
doc1 label19,Cancer FHx,"Cancer  BREAST 7447 
2   RISK 1994 
3   PROSTATE 1916 
4   LUNG 1775 
5   PATIENTS 1338 
6   CANCER 1186 
7   DISEASE 1178 
8   COLON 1120 
9   RESEARCH 1006 
10   INSTITUTE Family MEMBERS 10889 
2   FRIENDS 8323 
3   MEMBER 3708 
4   LIFE 3506 
5   FAMILY 3223 
6   TIME 2413 
7   HISTORY 2232 
8   CHILDREN 2025 
9   VALUES 1901 
10   BUSINESS History  ART 2830 
2   TIME 2348 
3   MUSEUM 2275 
4   FAMILY 2233 
5   HISTORY 1942 
6   WORLD 1798 
7   CULTURE 1343 
8   PROFESSOR 1338 
9   PEOPLE 1275 
10   UNIVERSITY  N Y"
doc1 label20,Tobacco,"Tobacco  INDUSTRY 1239 
2   COMPANIES 1032 
3   ALCOHOL 834 
4   USE 631 
5   PRODUCTS 360 
6   COMPANY 358 
7   SMOKE 357 
8   FIREARMS 335 
9   BUREAU 301 
10   CONTROL  pyr"
doc1 label21,EtOH,"alchohol  DRUG 1972 
2   USE 1779 
3   DRUGS 1732 
4   ABUSE 1321 
5   CONSUMPTION 836 
6   TOBACCO 834 
7   PROBLEMS 481 
8   ALCOHOL 332 
9   FIREARMS 299 
10   BUREAU N Y"
doc1 label22,clinical stage at Dx,"clinical stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER  CENTER 1482 
2   LIFE 751 
3   DEVELOPMENT 648 
4   WORLD 648 
5   stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 533 
6   MANAGER 387 
7   TIME 330 
8   PROCESS 313 
9   PEOPLE 308 
10   CAREER at Diagnosis  TREATMENT 586 
2   CANCER 289 
3   YEARS 179 
4   DISEASE 167 
5   TIME 157 
6   DISORDER 135 
7   PATIENTS 122 
8   MANAGEMENT 100 
9   DIAGNOSIS 98 
10   DOCTOR 1 2 3 4"
doc1 label23,Clinical TNM at Dx,"Clinical Tumor  BRAIN 596 
2   CELLS 296 
3   GROWTH 156 
4   SIZE 100 
5   CELL 74 
6   PATIENT 66 
7   CANCER 65 
8   TUMOR 58 
9   SURGERY 52 
clinical  tumor 10   stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER nodes  LYMPH 582 
2   NUMBER 55 
3   NODES 42 
4   NETWORK 40 
5   NECK 27 
6   CANCER 25 
7   GRAPH 22 
8   SIZE 18 
9   NODE 17 
10   DATA metastasis  NODE 44 
2   LYMPH 39 
3   RECURRENCE 39 
4   PATIENTS 20 
5   CANCER 15 
6   NECK 14 
7   TUMOR 14 
8   CASE 13 
9   PATIENT 12 
10   CASES at Diagnosis  TREATMENT 586 
2   CANCER 289 
3   YEARS 179 
4   DISEASE 167 
5   TIME 157 
6   DISORDER 135 
7   PATIENTS 122 
8   MANAGEMENT 100 
9   DIAGNOSIS 98 
10   DOCTOR  TREATMENT 586 
2   CANCER 289 
3   YEARS 179 
4   DISEASE 167 
5   TIME 157 
6   DISORDER 135 
7   PATIENTS 122 
8   MANAGEMENT 100 
9   DIAGNOSIS 98 
10   DOCTOR T1N T2N T3N T4N TXN"
doc1 label24,path stage at Dx,"path stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER at Diagnosis  TREATMENT 586 
2   CANCER 289 
3   YEARS 179 
4   DISEASE 167 
5   TIME 157 
6   DISORDER 135 
7   PATIENTS 122 
8   MANAGEMENT 100 
9   DIAGNOSIS 98 
10   DOCTOR 1 2 3 4"
doc1 label25,Path TNM at Dx,"Pathological  LIAR 79 
2   BEHAVIOR 27 
3   CONDITIONS 25 
4   GAMBLING 22 
5   CONDITION 20 
6   SPHERE 17 
7   BEHAVIORS 14 
8   LIARS 14 
9   EXAMINATION 13 
10   STATES tumor  BRAIN 596 
2   CELLS 296 
3   GROWTH 156 
4   SIZE 100 
5   CELL 74 
6   PATIENT 66 
7   CANCER 65 
8   TUMOR 58 
9   SURGERY 52 
10   stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER nodes  LYMPH 582 
2   NUMBER 55 
3   NODES 42 
4   NETWORK 40 
5   NECK 27 
6   CANCER 25 
7   GRAPH 22 
8   SIZE 18 
9   NODE 17 
10   DATA metastasis   NODE 44 
2   LYMPH 39 
3   RECURRENCE 39 
4   PATIENTS 20 
5   CANCER 15 
6   NECK 14 
7   TUMOR 14 
8   CASE 13 
9   PATIENT 12 
10   CASES at Diagnosis  TREATMENT 586 
2   CANCER 289 
3   YEARS 179 
4   DISEASE 167 
5   TIME 157 
6   DISORDER 135 
7   PATIENTS 122 
8   MANAGEMENT 100 
9   DIAGNOSIS 98 
10   DOCTOR T1N T2N T3N T4N TXN"
doc1 label26,Path Diff,"Pathological  LIAR 79 
2   BEHAVIOR 27 
3   CONDITIONS 25 
4   GAMBLING 22 
5   CONDITION 20 
6   SPHERE 17 
7   BEHAVIORS 14 
8   LIARS 14 
9   EXAMINATION 13 
10   STATES Difference PEOPLE 521 
2   TIME 499 
3   WORLD 498 
4   GROUPS 424 
5   AGE 401 
6   LIFE 399 
7   WAY 381 
8   GENDER 371 
9   LIVES 340 
10   OPINION  Moderate  REPUBLICANS 388 
2   REPUBLICAN 283 
3   DEMOCRATS 282 
4   EXERCISE 193 
5   LEVELS 184 
6   LEVEL 182 
7   ACTIVITY 175 
8   HEAT 153 
9   INTENSITY 128 
10   PEOPLE Well  PEOPLE 3233 
2   CHILDREN 1092 
3   HEALTH 1021 
4   MAN 1013 
5   COUNTRIES 894 
6   WOMEN 836 
7   PERFORMANCE 813 
8   QUALITY 611 
9   FAMILIES 604 
10   THING  MR 12422 
2   PEOPLE 5685 
3   TIME 3724 
4   THINGS 2778 
5   WAY 2554 
6   MS 2477 
7   THING 2289 
8   PRESIDENT 2206 
9   YEARS 2019 
10   DR Poor"
doc1 label27,Primary Therapy,"Primary  Therapy  RADIATION 572 
2   GENE 515 
3   HORMONE 508 
4   THERAPY 485 
5   GROUP 439 
6   REPLACEMENT 437 
7   FAMILY 384 
8   PATIENTS 359 
9   DRUG 351 
10   SESSION S XRT IC CCR I"
doc1 label28,Rec,"Recurrence   RATE 91 
2   RISK 89 
3   CANCER 85 
4   RATES 66 
5   PATIENTS 62 
6   METASTASIS 40 
7   DISEASE 37 
8   BREAST 35 
9   EVIDENCE 35 
10   TUMOR  Yes No"
doc1 label29,Disease state,"Disease  HEART 5931 
2   CONTROL 2833 
3   CENTERS 2442 
4   PREVENTION 2069 
5   RISK 1806 
6   CANCER 1178 
7   PEOPLE 801 
8   PATIENTS 781 
9   DIABETES 756 
10   DISEASE  state  UNIVERSITY 12155 
2   DEPARTMENT 10131 
3   SECRETARY 9158 
4   STATE 5151 
5   LAW 3954 
6   OFFICIALS 3625 
7   GOVERNMENT 2964 
8   EDUCATION 2806 
9   COURT 2769 
10   UNION  NED DOD AWD"
doc1 label30,Distant_Local,Distant Local
doc1 label31,Rec Location,"Recurrence  RATE 91 
2   RISK 89 
3   CANCER 85 
4   RATES 66 
5   PATIENTS 62 
6   METASTASIS 40 
7   DISEASE 37 
8   BREAST 35 
9   EVIDENCE 35 
10   TUMOR  Location  LOCATION 818 
2   TIME 306 
3   MAP 280 
4   SIZE 204 
5   INFORMATION 195 
6   CITY 160 
7   SCHOOL 151 
8   site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLE125 
9   GAME 117 
10   NAME LN esophagus STOMACH 74 
2   CANCER 27 
3   ACID 24 
4   FOOD 18 
5   MOUTH 15 
6   LINING 14 
7   TRACHEA 11 
8   REFLUX 10 
9   TUBE 10 
10   PART  left Primary Lung CANCER 1776 
2   DISEASE 425 
3   HEART 348 
4   FUNCTION 198 
5   ASSOCIATION 185 
6   BLOOD 153  
7   INSTITUTE 124 
8   RISK 121 
9   TISSUE 93 
10   CAPACITY skin  COLOR 1677 
2   HAIR 1301 
3   CANCER 953 
4   EYES 822 
5   SKIN 705 
6   CELLS 480 
7   FACE 410 
8   SURFACE 402 
9   TONE 395 
10   CARE bone  MARROW 1223 
2   DENSITY 602 
3   BONE 449 
4   LOSS 437 
5   MASS 377 
6   BODY 291 
7   MUSCLE 283 
8   TRANSPLANT 249 
9   FLESH 246 
10   BLOOD left axillary liver  DISEASE 417 
2   CANCER 340 
3   TRANSPLANT 244 
4   HEART 236 
5   KIDNEY 220 
6   DAMAGE 199 
7   FAILURE 175 
8   KIDNEYS 145 
9   FUNCTION 133 
10   CELLS  trachea  TUBE 14 
2   LARYNX 12 
3   ESOPHAGUS 11 
4   BRONCHI 10 
5   WINDPIPE 8 
6   CARTILAGE 6 
7   INFLUENZA 5 
8   LUNGS 5 
9   AIR 4 
10   HARBOR rec met locoregional"
doc1 label32,Comments,"Comments  QUESTIONS 448 
2   STUDENTS 259 
3   PRESIDENT 246 
4   SUGGESTIONS 205 
5   MR 177 
6   PEOPLE 170 
7   REVIEWERS 167 
8   ARTICLE 165 
9   STUDENT 159 
10   FEEDBACK"
doc1 label33,Tumor HAND ID,"Tumor  BRAIN 596 
2   CELLS 296 
3   GROWTH 156 
4   SIZE 100 
5   CELL 74 
6   PATIENT 66 
7   CANCER 65 
8   TUMOR 58 
9   SURGERY 52 
10   stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER HAND identification "
doc2 label34,RNA HAND ID,"Ribonucleic ACID 25 
2   RNA 17 
3   DNA 2 
4   MESSENGER 2 
5   MATERIAL 2 
6   ACIDS 2 
7   VIRUSES 2 
8   WORLD 1 
9   RRNA 1 
10   RNAS Acid RAIN 913 
2   AMINO 507 
3   ACID 320 
4   STOMACH 185 
5   TEST 128 
6   VITAMIN 121 
7   REFLUX 113 
8   LEVELS 96 
9   PROGRAM 87 
10   ALPHA HAND identification NUMBER 236 
2   TEAM 194 
3   PROCESS 184 
4   WORD 165 
5   STUDENTS 140 
6   GROUP 128 
7   SYSTEM 128 
8   CARD 122 
9   CARDS 118 
10   PROBLEM"
doc2 label35,DNA HAND ID,"Deoxyribonucleic Acid HAND identification NUMBER 236 
2   TEAM 194 
3   PROCESS 184 
4   WORD 165 
5   STUDENTS 140 
6   GROUP 128 
7   SYSTEM 128 
8   CARD 122 
9   CARDS 118 
10   PROBLEM  ACID 48 
2   DNA 37 
3   GENES 3 
4   CELL 2 
5   DISCOVERY 2 
6   NUCLEUS 2 
7   MOLECULE 2 
8   PROTEINS 2 
9   DNA/RNA 2 
10   RNA  RAIN 913 
2   AMINO 507 
3   ACID 320 
4   STOMACH 185 
5   TEST 128 
6   VITAMIN 121 
7   REFLUX 113 
8   LEVELS 96 
9   PROGRAM"
doc2 label36,MRN,"Medical Record  TRACK 1805 
2   WORLD 1265 
3   YEAR 967 
4   TIME 847 
5   COMPANY 707 
6   RECORD 573 
7   SCHOOL 565 
8   COMPANIES 557 
9   NUMBER 533 
10   TEAM Number PEOPLE 5854 
2   PHONE 3839 
3   YEARS 2899 
4   STUDENTS 2146 
5   NUMBER 1962 
6   TIMES 1940 
7   CHILDREN 1512 
8   WOMEN 1411 
9   THINGS 1360 
10   CASES"
doc2 label37,DOB,"date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT  TIME 624 
2   BIRTH 537 
3   NIGHT 361 
4   YEARS 361 
5   RAPE 336 
6   YEAR 301 
7   EXPIRATION 295 
8   NAME 266 
9   RELEASE 236 
10   COURT of Birth  CONTROL 2380 
2   CHILD 1002 
3   MOTHER 873 
4   CERTIFICATE 783 
5   DEFECTS 628 
6   PARENTS 592 
7   date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT 534 
8   CHILDREN 488 
9   BABY 479 
10   DEATH"
doc2 label38,DateTissue Harvest,"date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT TIME 624 
2   BIRTH 537 
3   NIGHT 361 
4   YEARS 361 
5   RAPE 336 
6   YEAR 301 
7   EXPIRATION 295 
8   NAME 266 
9   RELEASE 236 
10   COURT  Tissue PAPER 407 
2   SCAR 313 
3   BRAIN 292 
4   MUSCLE 282 
5   BREAST 254 
6   DAMAGE 229 
7   SAMPLES 199 
8   BONE 194 
9   TISSUE 182 
10   CELLS  Harvest "
doc2 label39,Gender Female =0    Male =1,"Gender  DIFFERENCES 2345 
2   RACE 1770 
3   AGE 1758 
4   ROLES 748 
5   CLASS 671 
6   ETHNICITY 639 
7   IDENTITY 521 
8   WOMEN 494 
9   GAP 492 
10   ISSUES  Female  MALE 3003 
2   STUDENTS 1501 
3   ATHLETES 960 
4   BODY 546 
5   PARTICIPANTS 497 
6   VOICE 487 
7   PERCENT 481 
8   WOMEN 427 
9   STUDENT 351 
10   FIGURE  0    Male  FEMALE 2275 
2   STUDENTS 1056 
3   WOMEN 595 
4   ATHLETES 586 
5   VOICE 496 
6   VIDEO 489 
7   CLIP 472 
8   PARTICIPANTS 445 
9   COUNTERPARTS 401 
10   PERCENT 1 0 1"
doc2 label40,"Race 1= Caucasian, 2=African american, 3=Asian","Race  FEMALE 2275 
2   STUDENTS 1056 
3   WOMEN 595 
4   ATHLETES 586 
5   VOICE 496 
6   VIDEO 489 
7   CLIP 472 
8   PARTICIPANTS 445 
9   COUNTERPARTS 401 
10   PERCENT 1 Caucasian  STUDENTS 185 
2   FEMALES 60 
3   MALE 55 
4   PARTICIPANTS 53 
5   AMERICANS 49 
6   PERCENT 47 
7   SAMPLE 46 
8   WOMEN 45 
9   FEMALE 41 
10   RACE 2 African american  STUDENTS 755 
2   WOMEN 419 
3   AMERICAN 371 
4   MEN 297 
5   COMMUNITY 275 
6   CHILDREN 261 
7   PERCENT 198 
8   ADOLESCENTS 190 
9   MALES 145 
10   HISTORY 3 Asian  COUNTRIES 785 
2   AMERICANS 727 
3   MARKETS 421 
4   CRISIS 373 
5   NATIONS 367 
6   STUDENTS 347 
7   WOMEN 311 
8   ART 285 
9   PERCENT 274 
10   IMMIGRANTS 1 2 3"
doc2 label41,"Ethnicity 1= Hispanic,  0=Non Hispanic","Ethnicity  RACE 1043 
2   GENDER 665 
3   AGE 282 
4   RELIGION 213 
5   CLASS 193 
6   STATUS 142 
7   SEX 125 
8   CULTURE 106 
9   EDUCATION 79 
10   LANGUAGE 1 Hispanic  STUDENTS 555 
2   PERCENT 499 
3   WOMEN 398 
4   POPULATION 378 
5   COMMUNITY 354 
6   CHILDREN 250 
7   AMERICANS 235 
8   VOTERS 232 
9   VOTE 176 
10   PARENTS  0 Non Hispanic  STUDENTS 555 
2   PERCENT 499 
3   WOMEN 398 
4   POPULATION 378 
5   COMMUNITY 354 
6   CHILDREN 250 
7   AMERICANS 235 
8   VOTERS 232 
9   VOTE 176 
10   PARENTS 1 0"
doc2 label42,"Smoking 0=no, 1 = yes; ","Smoking  CIGARETTE 976 
2   GUN 583 
3   CIGARETTES 532 
4   DRINKING 476 
5   SCENES 372 
6   HEALTH 334 
7   PEOPLE 302 
8   CESSATION 287 
9   MARIJUANA 242 
10   ALCOHOL 0 no 1  yes  0 1"
doc2 label43,"current Smoking, 0=no, 1 = yes","current Smoking  CIGARETTE 976 
2   GUN 583 
3   CIGARETTES 532 
4   DRINKING 476 
5   SCENES 372 
6   HEALTH 334 
7   PEOPLE 302 
8   CESSATION 287 
9   MARIJUANA 242 
10   ALCOHOL  0 no 1  yes 0 1"
doc2 label44,"Type of smoking 0= nothing 1=Cigarette,   2=Cigar   3= Chewing tobacco, 4=Pipe, 5=snuff","Type  DIABETES 1178 
2   THING 675 
3   PERSON 611 
4   TYPE 585 
5   PEOPLE 557 
6   INFORMATION 372 
7   BODY 351 
8   ACTIVITY 319 
9   SYSTEM 316 
10   BLOOD  of smoking  CIGARETTE 976 
2   GUN 583 
3   CIGARETTES 532 
4   DRINKING 476 
5   SCENES 372 
6   HEALTH 334 
7   PEOPLE 302 
8   CESSATION 287 
9   MARIJUANA 242 
10   ALCOHOL  0 nothing  PEOPLE 1077 
2   TIME 909 
3   LIFE 855 
4   WORLD 706 
5   MAN 705 
6   YEARS 644 
7   WAY 605 
8   TRUTH 545 
9   DAY 504 
10   FACT 1 Cigarette  SMOKE 809 
2   SMOKING 373 
3   LIGHTER 255 
4   LIGHTS 215 
5   HAND 210 
6   BUTTS 207 
7   MOUTH 190 
8   COMPANIES 167 
9   TAX 162 
10   BUTT  2 Cigar  SMOKE 186 
2   BOX 148 
3   MOUTH 104 
4   HAND 47 
5   CIGAR 44 
6   BOXES 39 
7   STUB 38 
8   END 36 
9   STORE 36 
10   SMOKING   3 Chewing tobacco  INDUSTRY 1239 
2   COMPANIES 1032 
3   ALCOHOL 834 
4   USE 631 
5   PRODUCTS 360 
6   COMPANY 358 
7   SMOKE 357 
8   FIREARMS 335 
9   BUREAU 301 
10   CONTROL 4 Pipe 5 snuf  TOBACCO 18 
2   FILMS 15 
3   BOXES 14 
4   PINCH 14 
5   FILM 13 
6   BOX 12 
7   LIFE 12 
8   FIRE 9 
9   MEN 6 
10   CANDLESf 1 2 3 4 5"
doc2 label45,Pack years,"Pack  CIGARETTES 465 
2   ICE 341 
3   RAT 326 
4   BATTERY 291 
5   BACK 242 
6   BAGS 236 
7   DAY 202 
8   BAG 185 
9   TIME 166 
10   CIGARETTE  years   YEARS 7878 
2   COUPLE 6922 
3   TIME 5953 
4   AGE 5259 
5   LIFE 3869 
6   PEOPLE 3237 
7   SCHOOL 3224 
8   EXPERIENCE 2981 
9   PRISON 2914 
10   NUMBER"
doc2 label46,Date Started,"date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT  TIME 624 
2   BIRTH 537 
3   NIGHT 361 
4   YEARS 361 
5   RAPE 336 
6   YEAR 301 
7   EXPIRATION 295 
8   NAME 266 
9   RELEASE 236 
10   COURT Started "
doc2 label47,Date Stopped,"date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT  TIME 624 
2   BIRTH 537 
3   NIGHT 361 
4   YEARS 361 
5   RAPE 336 
6   YEAR 301 
7   EXPIRATION 295 
8   NAME 266 
9   RELEASE 236 
10   COURT Stopped "
doc2 label48,"Alcohol 0=no, 1 = yes","Alcohol  DRUG 1972 
2   USE 1779 
3   DRUGS 1732 
4   ABUSE 1321 
5   CONSUMPTION 836 
6   TOBACCO 834 
7   PROBLEMS 481 
8   ALCOHOL 332 
9   FIREARMS 299 
10   BUREAU 0 no 1  yes 0 1 "
doc2 label49,"Current drinker 0=no, 1 = yes","Current drinker  BEER 36 
2   PROBLEM 31 
3   COFFEE 22 
4   SMOKER 22 
5   BINGE 15 
6   WINE 14 
7   MAN 12 
8   BLOOD 9 
9   TEA 7 
10   DRINKER  0 no 1  yes 0 1"
