docName,labelText,valuesText,numValues
doc2_Race_Caucasian_Afric,cannonbal it asiat wash asian speed airstream languag belt subspeci pelt backwash white caucasian run slipstream african hotfoot caucas hie along caucasoid on rush hasten bucket step person american race english raceway,ane trio one ii uniti tercet deuc three triniti 1 3 2 trine singl triplet terzetto troika threesom two iii ternion ternari ace i trey tierc triad leash,3
doc2_Ethnicity_Hispanic_N,non latino ethnic american spanish not hispan,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Smoking_no_yes,no fume ye number nobelium smoke atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_current_Smoking_no_y,stream no fume electr ye number current nobelium smoke atom 102 flow more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Type_of_smoking_noth,chew trio nada 4pipe mastic fume deuc nail zero manduct null cigaret eccentr typecast zip jaw three triniti bacci 3 trine zippo naught type noth zilch plant triplet terzetto nil manduc troika threesom nix cipher goos butt iii fag ternion tercet case typewrit cypher aught ternari tobacco of charact trey ace tierc 5snuff smoke cigarett triad leash egg coffin 2cigar,ane trio cinqu quint one ii littl quintuplet fivesom pentad uniti tercet tetrad deuc foursom three triniti 1 3 2 5 4 phoeb ternari fin singl trine triplet terzetto quintet quadruplet troika threesom quaternion five two iv iii ternion four ace quaternari i trey tierc quatern v triad leash quartet joe,5
doc2_Pack_years,load geezerhood carri coteri number down gang year old ring battalion compact long backpack wad eld day jam larg inner circl pile tamp plural take bundl multitud cliqu mob yr class throng age camp twelvemonth face time ingroup pack,,1000
doc2_Date_Started,origin set depart engag pop month down see commenc go out lead stamp bulg bug start take escort forth begin get initi embark part particular date on come day appoint jump about off of up startl the protrud steadi,,1000
doc2_Date_Stopped,barricad engag give over back month see blockad go check out quit end stamp arrest escort termin discontinu finish halt stop break intercept lay particular date bar hold day kibosh appoint on off of up turn contain ceas the steadi block,,1000
doc2_Alcohol_no_yes,alcohol no drink ye number beverag nobelium atom 102 intoxic inebri more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Current_drinker_no_y,stream no juicer flow electr ye number toper current 102 nobelium atom drinker imbib more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_age_last_alcohol,lowest geezerhood point lastli period up fini cobbler eld year go close shoemak out death end alcohol in long beverag live endur termin net final surviv matur finish get conclud drink stop inebri utmost hold old conclus stage on last age histor s senesc place time intoxic,,1000
doc2_Tumor_Site_Oral_cavi,site unwritten cavum pit web tumour locat decay websit neoplasm oropharynx internet caviti viva exam hypopharynx dental situat voic larynx cari enclos examin bodili box land space voce tooth tumor place oral,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc2_T_stage,point tetraiodothyronin metric tonn microscop stagecoach triiodothyronin thyroxin monophosph ton leg liothyronin phase repres present stage thymin level mt degre deoxythymidin t arrang,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four joe ace quaternari i trey tierc quatern triad leash quartet 4a,5
doc2_N_stage,normal northward newton north microscop point level due repres arrang phase degre nitrogen atom 7 number stagecoach n leg present stage,ane trio nought one ii zero uniti tercet deuc three triniti 1 0 3 2 trine 3b singl triplet terzetto troika threesom cipher two iii ternion cypher ternari ace i trey tierc 2a 2b 2c triad leash,8
doc2_M_stage,metr point meter repres microscop stagecoach concentr mib megabyt grand leg thousand chiliad phase one present stage molar yard g level thou mebibyt k mb m degre arrang 1000,0 zero nought cipher cypher,1
doc2_Date_Last_FU,engag point lastli surviv fini see cobbler in go close shoemak out death end stamp live escort endur termin net final lowest finish fu month conclud stop particular date utmost hold day conclus stage appoint on last of up s place the steadi,,1000
doc2_Disease_status_at_La,depart point lastli number surviv fini finish cobbler at in go close shoemak unit 85 statu death end duc state live conclud termin net out defens lowest diseas fu nedawd endur stop condit atom utmost hold conclus stage on last of up dod final s place posit astatin,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc2_Follow_Up_Status_On_,conform espous over an lfu follow pursu abreast abid out statu eye come travel to take condit be play fu trace after watch surveil compli succeed accompani stick fall astir along with by on postdat survey adopt up keep upwardli posit improv observ upward,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Date_of_Death,engag month see demis go out death end stamp escort particular date day expiri appoint last deceas of destruct die the steadi,,1000
doc2_PCR_HPV6_status_HPV6,pcr hpv6 statu posit condit,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_p6_p6_p6,p6,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_HPV6_ISH_HPV6_HPV6,hpv6 ish,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_HPV_status_clin_PCR_,statu mix pcr blend compound immix hpv fuse meld posit hpv6 coalesc combin unit flux clin condit merg commingl conflat aggreg,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Prior_Surgery_Before,anterior oper sketch work consid contempl enter process surgeri surgic disciplin number procedur hoosier canva cogit in canvass analyz subject no front inward nobelium state enrol field written book take bailiwick inch indiana analys theatr more area hit read earlier ye befor examin atom 102 the theater room ahead of 49 recruit prior survey learn report inscrib studi medit indium or,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Prior_Radiation_befo,anterior radiotherapi sketch work consid contempl enter disciplin number hoosier canva cogit in canvass hit subject no front inward nobelium state enrol field written book analyz sick inch indiana syndrom analys take area radioact therapi bailiwick read earlier ye irradi examin atom 102 the ahead befor of actinotherapi 49 recruit radiat prior medit survey learn report inscrib studi more indium,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Prior_Chemotherapy_b,anterior sketch work consid contempl enter disciplin number hoosier canva cogit in canvass analyz subject no front chemotherapi nobelium state enrol field written book take bailiwick inch indiana analys more area hit read earlier ye befor examin atom 102 the inward ahead of 49 recruit prior survey learn report inscrib studi medit indium,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Primary_Surgical_The,oper elect elementari surgic number primari quill no princip master nobelium feather main more therapi ye basal atom 102 coil element chief wind,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Primary_radiation_Th,radiotherapi elect elementari number element primari quill syndrom no chief master nobelium sick feather main more radioact therapi ye basal irradi atom 102 coil actinotherapi radiat princip wind,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Primary_chemotherapy,wind elect no elementari chemotherapi ye number element basal chief princip master nobelium atom 102 coil feather main primari quill more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Post_Surgery_Chemoth,oper situat carri surgeri surgic number procedur emili price put no chemotherapi stake send process offic station nobelium mail theatr more spot brand wiley ye berth william charl atom 102 post postal c theater room militari servic up place w posit billet or,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Post_Surgery_Radioth,radiotherapi oper situat carri surgeri surgic number procedur emili price put or no stake send process offic station nobelium mail theatr more therapi spot brand wiley ye berth william irradi charl atom 102 post postal c theater room militari servic up radiat place w posit billet actinotherapi,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_recommendation_numbe,routin telephon number down total no enumer add identif figur nobelium passport recommend more good numer ye phone atom 102 bit come count word testimoni list up keep issu turn amount act,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Datest_recommendatio,good word testimoni datest passport recommend,,1000
doc2_Site_Local_no_Yes,topic land locat situat anesthet no anaesthet internet ye site number websit nobelium place web atom 102 local more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Site_Regional_no_Yes,web land locat no situat region internet ye site number websit place nobelium atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Site_Distant_no_Yes,upstag web land locat no remot situat remov internet ye site number websit aloof distant nobelium atom 102 place more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_prescription_Sur_no_,ethic medicin no prescript ye number drug nobelium sur tyre atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_prescription_Chemoth,ethic medicin no chemotherapi prescript ye number drug nobelium atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_prescription_Radioth,radiotherapi ethic therapi no actinotherapi prescript ye number drug radiat irradi medicin nobelium atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_recommendation_no_Ye,good word no recommend ye number testimoni nobelium passport atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Date_2nd_recommendat,engag 2nd second go out stamp escort recommend good passport particular date month day appoint word testimoni of see 2d the steadi,,1000
doc2_Site_Local_no_Yes,topic land locat situat anesthet no anaesthet internet ye site number websit nobelium place web atom 102 local more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Site_Regional_no_Yes,web land locat no situat region internet ye site number websit place nobelium atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Site_Distant_no_Yes,upstag web land locat no remot situat remov internet ye site number websit aloof distant nobelium atom 102 place more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_prescription_Surgery,ethic oper theater room no process surgeri prescript ye number drug or atom medicin procedur surgic 102 more theatr nobelium,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_prescription_chemoth,ethic medicin no chemotherapi prescript ye number drug nobelium atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_prescription_Radioth,radiotherapi ethic therapi no actinotherapi prescript ye number drug radiat irradi medicin nobelium atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_recommendation_no_Ye,good word no recommend ye number testimoni nobelium passport atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Date_3rd_recommendat,engag tertiari month see go out 3rd stamp escort recommend good passport particular date day appoint word third testimoni of the steadi,,1000
doc2_Site_Local_no_Yes,topic land locat situat anesthet no anaesthet internet ye site number websit nobelium place web atom 102 local more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Site_Regional_no_Yes,web land locat no situat region internet ye site number websit place nobelium atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_Site_Distant_no_Yes,upstag web land locat no remot situat remov internet ye site number websit aloof distant nobelium atom 102 place more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_prescription_Surgery,ethic oper theater room no process surgeri prescript ye number drug or atom medicin procedur surgic 102 more theatr nobelium,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_prescriptionChemothe,prescriptionchemotherapi no ye number nobelium atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc2_prescription_Radioth,radiotherapi ethic therapi no actinotherapi prescript ye number drug radiat irradi medicin nobelium atom 102 more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_Patient,affect role patient,,1000
doc3_Age_years,on matur geezerhood get age year twelvemonth period long histor class senesc eld time old yr day,,1000
doc3_Age_class,geezerhood grade period instruct socio eld famili year old out categori cours econom long divis assort classifi stratum sort matur form get social class on of age histor separ senesc time studi,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_Sex_male_female,excit on femal urg manli practic manlik gender activ up distaff sex person arous turn viril male sexual wind man,ane uniti ace i deuc two one 1 ii 2 singl,2
doc3_localization_code,function codif code encrypt of fix enciph write inscrib localis cypher in comput principl local cipher locat,,1000
doc3_localization_class,sort grade instruct socio famili year out divis cours locat fix econom classifi categori assort stratum local function form class of separ localis social studi principl,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc3_pathological_T,diseas thymin patholog monophosph tetraiodothyronin metric liothyronin thyroxin tonn mt ton t deoxythymidin triiodothyronin morbid,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc3_pathological_lymph_n,thicken point repres gland microscop stagecoach leaf guest morbid node diseas patholog leg lymph phase present stage level degre client knob arrang,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc3_pathological_lymph_n,node thicken statu diseas leaf guest patholog posit gland client morbid lymph knob condit,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_pathological_stage,diseas patholog level point repres degre morbid microscop phase arrang stagecoach leg present stage,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc3_differentiation,distinct differenti specialis special,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc3_HPV_status,posit condit statu hpv,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_post_surgical_treatm,oper carri emili price stake send offic station treatment mail billet discours handl situat brand wiley spot berth william charl surgic put post postal discuss c militari servic up place w posit intervent,ethic medicin comput tomographi prescript connecticut state drug cat axial computer nutmeg constitut ct,2
doc3_clinical_follow_up_m,conform espous over an clinic follow calendar pursu abreast abid out eye come travel to take survey be play trace after watch surveil compli succeed accompani stick fall astir along month with by on postdat adopt up keep upwardli improv observ upward,,1000
doc3_recurrence_status_M_,metr mexico meter one nanometr concentr statu nm mib megabyt micromillimet grand new return thousand condit millimicron micromillimetr chiliad recurr molar land yard g mb thou of k m mebibyt posit 1000 enchant nanomet,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_distant_metastasis_f,unloosen give natur month releas unblock distant aloof gratuit rid calendar select detach disembarrass liber discharg innoc exempt disengag upstag absolv peopl endur costless free devoid dislodg grati resign destitut surviv relinquish reliev remot of remov complimentari up metastasi justifi unfreez fittest barren spare the loos unloos,,1000
doc3_Actual_status_alive_,all dead anim exist in suddenli utter absolut statu perfectli activ bush live stagnant awak condit factual real liter genuin utterli beat alert short numb deaden abruptli drain actual idl posit aliv,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_Overall_survivalmont,suit overal survivalmonth boilersuit boiler,,1000
doc3_Affymetrix_data_yes_,point datum no ye number inform atom nobelium affymetrix 102 data more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_CGH_data_yes_no,cgh point datum no ye number inform nobelium atom 102 data more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_RTPCR_data_yes_no,point datum no ye number inform rtpcr nobelium atom 102 data more,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_Patients_included_in,the sketch work consid contempl anticip predict disciplin number hoosier report medit in canvass hit prognost analyz subject 49 inward state forecast field written book role includ bailiwick inch nobelium analys indiana take area patient read previs ye let examin atom canva affect 102 foretel of no admit cogit survey learn studi more indium,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_4_gene_prediction_st,dispirit anticip four pitch line littl the humili 4 factor cistron gloomi risk previs quadruplet deplet adventur grim gami school quaternari small quartet richli blue depress statu tetrad forecast crush condit jeopardi run broken quaternion joe put miser on alexand of david foretel gene gamey first tone lowli danger height down downheart low gear infect abject mellow gambl spirit exposur peril emin up posit predict iv high chanc in cecil sir luxuri foursom take endanger prognost hazard modest mouth lay highschool humbl a scummi downcast scurvi quatern moo senior,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc3_4_genes_prediction_s,anticip predict conquest nock iv four mark sexual tetrad make grievanc foursom littl forecast grade score music 4 factor cistron hit previs quadruplet prognost quaternion joe talli account quaternari seduc up grudg quartet quatern foretel gene scotch rack,,1000
doc3_Affymetrix_sample_se,typefac flesh shape human go font incas fix fig exercis under congeal local build do digit band envis enter tri coiffur grammat name showcas public localis adjust fount trope set visualis soma frame see sampl event out project pattern forecast figur estim causa correct vitrin pose subject bodi arrang put compositor lawsuit stage on solidifi of materi count s instanc place bod pillow pillowcas number coif down fanci eccentr coiff pictur solidif mark lot suit type shell fructifi form imag specifi visual case cypher prepar work up charact harden defin calcul limit posit design display comput bent readi pig cure slip rig sheath face dress gear physiqu sic circl speech encas jell countersink anatomi plant typesett distribut reckon chassi cipher lay physic affymetrix seth typeset caus exampl determin guinea tast,s3 s2 s1,3
doc3_RTP_CR_sample_sets_c,typefac rtp go font 24 incas fix exercis under local do band tri coiffur grammat fount localis adjust showcas out set sampl event jell guinea causa correct vitrin pose put compositor lawsuit stage solidifi s instanc place pillow pillowcas number down cr chromium eccentr coiff solidif mark fructifi suit type shell circl specifi atom case prepar up charact harden defin limit posit arrang display bent readi pig cure slip sheath rig face dress gear sic congeal encas subject countersink plant typesett distribut lot lay coif seth typeset caus exampl determin tast,s3 s2 s1,3
doc4_Filename,filenam comput name file,,1000
doc4_Tu_vs_NL,cinqu 23 v nl vanadium quintet tu quint number littl volt atom vs five quintuplet fivesom phoeb 5 fin pentad,diseas cancer neoplast genu malign crab the,2
doc4_Age_diagnosis,on matur geezerhood get diagnos age year diagnosi period long histor senesc eld time old,,1000
doc4_Gender,gender grammat sexual sex,femal manli distaff person manlik viril male man,2
doc4_Smoking_Status,posit fume statu smoke condit,onetim late previou old erstwhil stream time flow sometim quondam one current other neversmok electr earli former,3
doc4_OC_vs_OP,cinqu 23 v vanadium quintet phoeb oc number littl volt atom vs five quint quintuplet fivesom 5 fin pentad op,viva exam decay pit dental space unwritten voce tooth cari oropharynx cavum examin caviti enclos oral bodili,2
doc4_T_stage,point tetraiodothyronin metric tonn microscop stagecoach triiodothyronin thyroxin monophosph ton leg liothyronin phase repres present stage thymin level mt degre deoxythymidin t arrang,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc4_cN_stage,cn level point repres degre microscop phase arrang stagecoach leg present stage,ane uniti cypher ace i deuc nought zero one 1 0 ii 2 two 2b 2c cipher singl,4
doc4_pN_stage,level point repres degre microscop phase arrang stagecoach pn leg present stage,ane uniti cypher ace i nought one 1 0 zero cipher 2b 2c singl,4
doc4_DM,mellitu dm diabet decimet decimetr,0 zero nought cipher cypher,1
doc4_ecs,europ commun union econom ec common eu eec market european,northward yttrium north nitrogen normal 39 newton number n wye due 7 atom y,2
doc4_treatment,handl discours treatment intervent discuss,ohm reciproc entropi intellig random number second nineti sec ic unit ray rt commun tube southward due state sulfur nation 99 atom sulphur mho cathod crt 16 siemen s nine south,4
doc4_diagnosis_date,appoint stamp engag diagnos of diagnosi month go see escort particular date the steadi day out,,1000
doc4_tx_date,appoint star engag tx stamp of lone see texa month go state escort particular date the steadi day out,,1000
doc4_local_recur,repeat anesthet recur anaesthet back topic resort fall go local,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc4_local_recurdt,topic recurdt local anesthet anaesthet,,1000
doc4_nodal_recur,repeat recur nodal back resort fall go,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc4_nodal_recurdt,nodal recurdt,,1000
doc4_DM,mellitu dm diabet decimet decimetr,,1000
doc4_DM_date,appoint dm engag stamp of particular month diabet decimetr see escort go mellitu date the steadi day decimet out,,1000
doc4_survival_last_follow,lowest point natur lastli surviv fini finish cobbler follow go close shoemak select out death end in review live endur termin net final followup reexamin conclud stop utmost hold conclus stage on last of up s place the fittest,all obscur livelihood alien go utter ground absolut effort stimul strang to bush treatment endur inhabit ascrib kick earli do anim get beat break know deaden surviv discuss bread stranger die drop bad butter intervent refer dead cash pall pass fail out snuff ned exit nobelium causa experi movement be diseas perish induc abruptli reason 102 becom lawsuit popul on last deceas unnam choke keep s nameless susten croak campaign number pop one down suddenli causal unknown support perfectli due live way suit dwell more flat life buy short crusad atom hold with former case bucket up incognita exist region aliv and give chip it agent imput subsist expir have in agenc conk no make idl handl other stagnant discours utterli farm terra unsung unidentifi numb ghost drain off drive quantiti caus the away,9
doc4_vital,life full of critic live vital sustain,all strang dead alien in suddenli utter absolut unknown perfectli activ bush short live other stagnant awak earli anim utterli beat terra unsung unidentifi obscur numb deaden alert former drain stranger region oscc abruptli quantiti incognita idl nameless unnam aliv,4
doc4_last_fudt,point lastli surviv fini cobbler in go close shoemak out death end live endur termin net final lowest finish conclud stop utmost hold conclus stage on fudt last up s place,,1000
doc4_fu_time,metr dimens term fu clip clock sentenc prison meter fourth time,,1000
doc4_ajcc4,ajcc4,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc4_ajcc2,ajcc2,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc4_OSCC_death,death last deceas die oscc destruct demis end expiri,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc4_all_death,all death last deceas altogeth die destruct entir demis total end complet whole expiri wholli,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
doc5_Main_identification,independ princip identif recognit chief design master main primari brini,,1000
