docName,labelText
d1_l17_SEX_M_F,metr megabyt chiliad number meter sex fluorin sexual concentr farad mib activ degre fahrenheit grand 9 excit thousand arous atom one molar on urg yard practic g f thou mebibyt k mb m up turn s gender wind 1000
d1_l18_tumor_subsite_HP_L_O,elect elementari subsit obscur 50 alien element primari quill fifti tumour decimet p unknown princip litr chief neoplasm master feather main liter cubic lambert hp terra basal decimetr unsung unidentifi coil strang horsepow stranger h unnam oc l o quantiti tumor incognita s u t nameless region wind op
d1_l19_Cancer_FHx_N_Y,cancer newton number malign diseas nitrogen northward neoplast due crab yttrium north 7 normal 39 atom c f genu n wye fhx y the
d1_l20_Tobacco_pyr,plant tobacco pyr bacci p t
d1_l21_EtOH_N_Y,northward yttrium e nitrogen normal 39 newton due n wye number 7 etoh atom y north
d1_l22_clinical_stage_at_di,ane trio point diagnos diagnosi number repres ii clinic at microscop stagecoach 85 uniti tercet tetrad deuc foursom tierc triniti 1 3 2 4 ternari three leash singl trine triplet terzetto leg quadruplet troika arrang quaternion two atom phase degre one iii ternion stage a four c d quaternari level i littl quartet trey ace s present quatern iv astatin triad threesom joe
d1_l23_Clinical_TNM_at_diag,t3n txn c d t2n diagnos t1n diagnosi number t clinic at a atom tnm astatin 85 t4n
d1_l24_path_stage_at_diagno,ane trio point diagnos diagnosi number repres ii at microscop stagecoach 85 uniti cours itinerari tetrad deuc rout foursom tierc triniti 1 3 2 4 way three leash singl trine life triplet terzetto leg track quadruplet troika arrang quaternion two atom phase path one iii quaternari ternion stage a four d ternari level i degre littl ace tercet quartet trey p s present quatern iv of astatin triad threesom joe
d1_l25_Path_TNM_at_diagnosi,txn diagnos diagnosi number at 85 cours t2n rout way a life track t4n atom path t3n d itinerari of t1n p t tnm astatin
d1_l26_Path_Diff_Mod_Well_P,consider advantag well modern pitiabl substanti diff intim cours misfortun easili rout comfort wretch way piteou fountainhead poor life good w wellspr track peopl swell modernist path hapless miser mod short pathet d itinerari of m piti p inadequ
d1_l27_Primary_Therapy_S_XR,ohm reciproc elect ane intellig atom number one second nineti sec 53 entropi ic element primari quill siemen south uniti commun southward princip 1 iodin state master unit xrt feather main singl random therapi due nation basal sulfur coil sulphur mho c ace 16 i chief elementari ccr 99 p s nine t x wind
d1_l28_Rec_Yes_No,no ye number n 102 r nobelium atom y rec more
d1_l29_Disease_state_NED_DO,commonwealth defens depart say publica unit ned submit re state forward tell polit do diseas provinc express nation bodi put awd a land d of dod n matter s posit countri
d1_l30_Distant_Local_Distan,upstag d anesthet remot remov anaesthet l topic distant aloof local
d1_l31_Rec_Location_LN_esop,leftfield forget over cuti bequeath scrape skin go depart suffer locat shinni fit ln fix behind color adjoin sputter exit main local forgath match to get osseou leftov l p princip t locoregion bone fulfil encount touch see result pass run bark odd quill out hide lead pelt away axillari mug leav impart rec forth across emplac tegument peel satisfi met come swot on drum alon struggl converg s os elect conform elementari into trachea lung primari oesophagu debon esophagu pearl master cram feather unexpend pare cope basal ivori liver gorg off with white gullet pull b provid up will remain r localis posit meet shin give element placement fill assembl receiv stake windpip field take scrambl play hand clamber tissu coil entrust foregath a e for gather m alar grind chief contact allow left wing wind togeth
d1_l32_Comments,comment c point commentari gloss remark notic annot scuttlebutt input gossip out
d1_l33_Tumor_HAND_ID,help deal give over handwrit player pass id tumour paw state neoplasm idaho mitt reach hand gem man on hire manu i h script tumor turn bridg t
d2_l34_RNA_HAND_ID,help deal give over handwrit player pass acid id paw state bridg mitt idaho rna reach hand gem man on hire manu i h script turn r ribonucl
d2_l35_DNA_HAND_ID,help deal give over handwrit player pass acid id dna paw state man deoxyribonucl idaho mitt reach hand desoxyribonucl gem manu on hire d i h script turn bridg
d2_l36_MRN,mrn m
d2_l37_Date_of_Birth,engag give month see have deliv go out stamp escort parentag bear parturit birth particular date day appoint b nascenc d nativ of o the steadi
d2_l38_Date_Tissue_Harvest,engag crop month see paper go home out stamp harvest glean escort time weav tissu particular date reap day appoint d h t of the steadi
d2_l39_Gender_Female_0_Male,ane manli nought one zero distaff sexual uniti manlik 1 0 singl grammat cipher viril sex man femal cypher ace g f i gender m person male
d2_l40_Race_1_Caucasian_2_A,ane trio cannonbal it one ii wash hasten asian speed airstream languag belt uniti subspeci tercet pelt deuc triniti 1 slipstream 3 2 backwash trine white caucasian singl triplet run terzetto asiat tierc english troika rush hotfoot threesom step hie along r iii caucasoid ternion a on c raceway ternari ace i bucket caucas trey person american race three african triad leash two
d2_l41_Ethnicity_1_Hispanic,ane nought one zero spanish uniti 1 0 latino singl non cipher ethnic not cypher e ace i h n american hispan
d2_l42_Smoking_0_no_1_yes_0,ane fume nought number one zero uniti no 1 0 nobelium singl more ye cipher atom 102 cypher ace i n s smoke y
d2_l43_current_Smoking_0_no,ane stream fume nought number one zero current uniti no 1 0 nobelium electr singl more ye cipher atom 102 c cypher ace i flow n s smoke y
d2_l44_Type_of_smoking_0_no,mastic fume four jaw littl 0 trine zippo fin nada quadruplet troika threesom goos fag typewrit quaternari organ p t quartet chew nail zero manduct n typecast tetrad tube 3 triplet s quaternion joe shriek c ace of o tierc zilch smoke triad cinqu nought quint one cigaret eccentr tercet zip three triniti leash 2 naught type 4 quintet manduc phoeb butt iii ternion case cypher aught shrill up charact trey 5snuff v coffin ane trio pipework iv ii quintuplet fivesom null pentad uniti foursom deuc bacci 1 pipag 5 noth singl plant terzetto nil cigar nix cipher two tobacco ternari i pipe quatern cigarett five egg
d2_l45_Pack_years,load geezerhood carri coteri number down gang year old ring battalion compact long backpack wad eld day jam larg take circl pile tamp plural inner bundl multitud cliqu mob yr class throng age camp twelvemonth face p time y ingroup pack
d2_l46_Date_Started,origin set depart engag pop month down see commenc go out lead stamp bulg bug start take escort forth begin get initi embark part particular date on come day appoint jump about off d of up s startl the protrud steadi
d2_l47_Date_Stopped,barricad engag give over back month see blockad go check out quit end stamp arrest escort termin discontinu finish halt stop break intercept lay particular date bar hold day kibosh appoint on off d of up turn s contain ceas the steadi block
d2_l48_Alcohol_0_no_1_yes_0,ane nought beverag one zero uniti number alcohol no 1 0 nobelium singl more drink ye inebri cipher atom 102 a cypher ace i n y intoxic
d2_l49_Current_drinker_0_no,ane stream nought number one zero drinker current uniti no 1 0 nobelium electr imbib singl more juicer ye cipher atom 102 c cypher d ace i flow toper n y
d2_l50_age_last_alcohol,lowest geezerhood up lastli period histor fini cobbler eld year go close shoemak out death end alcohol in point long beverag live endur termin net final surviv matur finish get conclud drink stop inebri utmost hold old conclus stage a on last age l s senesc place time intoxic
d2_l51_Tumor_Site_1_Oral_ca,ane trio situat site one ii unwritten cavum threesom voce pit terzetto web tumour locat tercet tetrad decay deuc foursom two triniti 1 neoplasm 3 2 oropharynx 4 internet caviti ternari three leash singl quatern trey websit triplet littl hypopharynx dental quadruplet troika uniti voic larynx cari enclos joe examin quaternion tierc iv iii ternion bodili box four c land ace quaternari i h exam space l o tooth tumor s place t triad trine oral quartet viva
d2_l52_T_stage_1_2_3_4_4A,ane trio repres point tetraiodothyronin metric one ii liothyronin littl microscop stagecoach triiodothyronin uniti present tercet tetrad mt deuc foursom three triniti 1 monophosph 3 2 ton 4 ternari singl t triplet terzetto leg tierc quadruplet troika threesom quaternion thyroxin arrang phase degre tonn iii ternion stage four joe thymin quaternari level i trine trey ace s deoxythymidin quatern iv triad leash quartet two 4a
d2_l53_N_stage_01_1_2_2_3_2,newton cinqu microscop captain octad littl 0 trine phoeb 8 fin vii troika sextet five half one ogdoad level 2a 2b 2c trio nitrogen zero septet stagecoach hick sestet 01 octet 3 7 3b sextuplet triplet leg s eighter decatur stage hexad ace tierc septenari triad two point nought quint number three from tercet due triniti leash 2 6 north quintet atom iii present sixer cypher octonari n trey viii v arrang ane seven vi repres ii quintuplet fivesom ternion pentad dozen northward six deuc 1 5 singl heptad terzetto normal sise uniti cipher eight a4 phase degre threesom a ternari i
d2_l54_M_stage_0,metr point nought meter repres zero microscop stagecoach concentr mib megabyt degre 0 grand leg thousand cipher chiliad phase one present stage molar cypher yard g level thou mebibyt k mb m s arrang 1000
d2_l55_Date_Last_FU,lowest engag point lastli up fini see cobbler in go close shoemak out death end stamp live escort endur termin net final surviv finish fu month conclud stop particular date utmost hold day conclus stage appoint on last d f of l s place the steadi
d2_l56_Disease_status_at_La,fini go death state littl 4 endur quadruplet stop threesom surviv four d quaternari terzetto l astatin leash quartet diseas close 85 statu tetrad ned 3 condit net defens triplet s quaternion joe stage on last ace of tierc place triad depart point lastli number one unit tercet duc two triniti live 2 termin final trine lowest conclud atom hold iii conclus utmost f up n trey three posit ane trio iv ii cobbler at in shoemak uniti end foursom deuc 1 ternion out singl finish fu troika awd a ternari i dod quatern
d2_l57_Follow_Up_Status_1_O,ane espous conform over nought l lfu zero upwardli follow pursu abreast abid out statu eye to with travel 1 0 take condit singl be play an fu trace after watch uniti compli surveil cipher accompani stick fall astir along one come by on postdat cypher survey ace f i adopt up o keep s succeed u posit improv observ upward
d2_l58_Date_od_Death,oculu engag month see destruct demis go out dexter death end doctor stamp escort optometri particular date day expiri appoint last d deceas die od o of the steadi
d2_l59_PCR_HPV16_status_0_H,ane hpv16 cypher i ace p pcr h nought statu uniti 1 0 s zero posit condit one cipher singl
d2_l60_p16_0_p16_1_p16_0_1,ane uniti cypher ace p i nought one 1 0 zero cipher p16 singl
d2_l61_HPV16_ISH_0_HPV16_1_,ane hpv16 cypher ace i h nought uniti one 1 0 zero ish cipher singl
d2_l62_HPV_status_clin_PCR_,ane nought blend one immix zero aggreg clin cipher unit merg statu mix pcr hpv 1 0 condit meld hpv16 uniti fuse compound c cypher ace i h p s coalesc combin singl flux posit commingl conflat
d2_l63_Prior_Surgery_Before,anterior ane sketch work examin contempl enter process surgeri surgic disciplin number procedur one hoosier canva zero cogit in canvass earlier analyz subject area uniti no front inward nobelium written enrol 1 0 report book take bailiwick inch indiana analys theatr singl more field nought hit state read prior ye befor cypher consid atom 102 theater the oper b e room ace i of 49 ahead recruit n p s cipher survey t learn y inscrib studi medit indium or
d2_l64_Prior_Radiation_befo,anterior radiotherapi sketch work examin contempl ane nought disciplin number one hoosier canva zero cogit in canvass hit cypher n subject area uniti no front inward nobelium written enrol 1 0 report book analyz sick medit inch indiana syndrom analys singl take field earlier therapi bailiwick state read prior ye irradi cipher consid atom 102 enter the b e ahead ace befor i of actinotherapi 49 recruit radioact radiat p s r survey t learn y inscrib studi more indium
d2_l65_Prior_Chemotherapy_b,anterior ane sketch work examin contempl enter nought disciplin number one hoosier canva zero cogit in canvass analyz subject area uniti no front chemotherapi nobelium written enrol 1 0 report book take bailiwick inch indiana analys singl more field earlier hit state read prior ye befor cypher consid atom 102 the c b e inward ace i of 49 ahead recruit n p s cipher survey t learn y inscrib studi medit indium
d2_l66_Primary_Surgical_The,oper ane elect elementari nought number one zero element primari quill uniti no princip 1 0 master nobelium feather main singl more therapi surgic ye basal cipher atom 102 coil cypher ace i chief n p s t y wind
d2_l67_Primary_radiation_Th,radiotherapi ane elect elementari nought number one zero n primari quill syndrom uniti no chief 1 0 master nobelium sick feather main singl more radioact therapi ye basal irradi cipher atom 102 coil cypher ace i actinotherapi radiat p princip r t y element wind
d2_l68_Primary_chemotherapy,ane elect elementari nought number one zero element primari quill uniti no chemotherapi chief 1 0 master nobelium feather main singl more ye basal cipher atom 102 coil c cypher ace i n p princip y wind
d2_l69_Post_Surgery_Chemoth,oper ane situat carri surgeri nought number procedur one price put zero uniti postal no chemotherapi stake send 1 0 offic station nobelium mail theatr singl more process w spot brand wiley ye berth william posit cipher charl atom 102 post emili c cypher theater room ace i militari servic up n p s place surgic y billet or
d2_l70_Post_Surgery_Radioth,radiotherapi ane situat carri surgeri nought number procedur one price put zero radiat uniti postal no stake send 1 0 offic station nobelium mail theatr singl more process therapi w spot brand wiley ye berth william irradi cipher charl atom 102 post emili oper c cypher theater room ace i militari servic or up n p s r place posit surgic y billet actinotherapi
d2_l71_Recc_0_no_1_Yes_0_1,ane nought number one zero uniti no 1 0 nobelium singl more recc ye cipher atom 102 cypher ace i n r y
d2_l72_Date_1st_Recc,appoint particular d stamp recc engag of month 1 go see r escort 1st date the first steadi day out
d2_l73_Site_Local_0_no_1_Ye,ane situat nought site one topic zero cypher web uniti locat anesthet no 1 0 nobelium internet local singl more websit ye anaesthet number cipher atom 102 land ace i l n s place y
d2_l74_Site_Regional_0_no_1,ane nought site one zero cypher web uniti locat no 1 0 nobelium internet singl more websit situat ye number cipher atom 102 land ace i region n s r place y
d2_l75_Site_Distant_0_no_1_,ane nought site one zero distant aloof cypher web uniti locat no 1 0 nobelium internet singl more upstag websit situat ye number cipher atom 102 land d ace remot remov n i s place y
d2_l76_Prescription_Surgery,oper ane process surgeri atom number medicin one zero ethic uniti no prescript 1 0 nobelium theatr singl more nought ye cipher procedur surgic 102 cypher theater room ace i drug n p s y or
d2_l77_prescription_Chemoth,medicin ane nought number one zero ethic uniti no chemotherapi prescript 1 0 nobelium singl more ye cipher atom 102 c cypher ace i drug n p y
d2_l78_prescription_Radioth,radiotherapi ane nought number medicin one zero radiat ethic uniti no prescript 1 0 nobelium singl more therapi ye irradi cipher atom 102 cypher ace i actinotherapi drug n p r y
d2_l79_Recc_0_no_1_Yes_0_1,ane nought number one zero uniti no 1 0 nobelium singl more recc ye cipher atom 102 cypher ace i n r y
d2_l80_Date_2nd_Recc,appoint d stamp recc engag particular second 2nd 2d go see 2 month escort of date the r steadi day out
d2_l81_Site_Local_0_no_1_Ye,ane situat nought site one topic zero cypher web uniti locat anesthet no 1 0 nobelium internet local singl more websit ye anaesthet number cipher atom 102 land ace i l n s place y
d2_l82_Site_Regional_0_no_1,ane nought site one zero cypher web uniti locat no 1 0 nobelium internet singl more websit situat ye number cipher atom 102 land ace i region n s r place y
d2_l83_Site_Distant_0_no_1_,ane nought site one zero distant aloof cypher web uniti locat no 1 0 nobelium internet singl more upstag websit situat ye number cipher atom 102 land d ace remot remov n i s place y
d2_l84_prescription_Surgery,oper ane process surgeri atom number medicin one zero ethic uniti no prescript 1 0 nobelium theatr singl more nought ye cipher procedur surgic 102 cypher theater room ace i drug n p s y or
d2_l85_prescription_chemoth,medicin ane nought number one zero ethic uniti no chemotherapi prescript 1 0 nobelium singl more ye cipher atom 102 c cypher ace i drug n p y
d2_l86_prescription_Radioth,radiotherapi ane nought number medicin one zero radiat ethic uniti no prescript 1 0 nobelium singl more therapi ye irradi cipher atom 102 cypher ace i actinotherapi drug n p r y
d2_l87_Recc_0_no_1_Yes_0_1,ane nought number one zero uniti no 1 0 nobelium singl more recc ye cipher atom 102 cypher ace i n r y
d2_l88_Date_3rd_Recc,appoint d 3rd stamp recc engag particular see tertiari month go 3 r escort of date the steadi day third out
d2_l89_Site_Local_0_no_1_Ye,ane situat nought site one topic zero cypher web uniti locat anesthet no 1 0 nobelium internet local singl more websit ye anaesthet number cipher atom 102 land ace i l n s place y
d2_l90_Site_Regional_0_no_1,ane nought site one zero cypher web uniti locat no 1 0 nobelium internet singl more websit situat ye number cipher atom 102 land ace i region n s r place y
d2_l91_Site_Distant_0_no_1_,ane nought site one zero distant aloof cypher web uniti locat no 1 0 nobelium internet singl more upstag websit situat ye number cipher atom 102 land d ace remot remov n i s place y
d2_l92_prescription_Surgery,oper ane process surgeri atom number medicin one zero ethic uniti no prescript 1 0 nobelium theatr singl more nought ye cipher procedur surgic 102 cypher theater room ace i drug n p s y or
d2_l93_prescription_Chemoth,medicin ane nought number one zero ethic uniti no chemotherapi prescript 1 0 nobelium singl more ye cipher atom 102 c cypher ace i drug n p y
d2_l94_prescription_Radioth,radiotherapi ane nought number medicin one zero radiat ethic uniti no prescript 1 0 nobelium singl more therapi ye irradi cipher atom 102 cypher ace i actinotherapi drug n p r y
d2_l95_Patient,p role patient affect
d3_l96_Age_years,a on matur geezerhood get age year twelvemonth histor long period class senesc eld time y old yr day
d3_l97_Age_class_0_1,ane geezerhood grade nought period one zero socio eld famili year old out divis uniti cours econom long 1 0 assort classifi stratum instruct singl sort matur form get social cipher class a on c cypher ace i of age histor separ senesc time studi categori
d3_l98_Sex_1_male_2_female_,ane manli sex ii manlik sexual excit uniti turn activ deuc distaff 1 2 singl two viril one man on femal urg practic ace f i gender m up person s male wind arous
d3_l99_localization_code,function c code encrypt codif of fix l enciph write inscrib localis cypher in comput principl local cipher locat
d3_l100_localization_class_1,ane trio grade leash one ii instruct socio classifi famili year out 1 uniti cours locat tercet tetrad deuc fix foursom tierc littl divis 3 2 three 4 stratum econom assort local singl trine function trey triplet terzetto form quadruplet troika threesom sort quaternion triniti ternari joe iv iii class ternion four c principl ace quaternari i of l separ localis quatern social triad studi categori quartet two
d3_l101_pathological_T_1_2_3,ane trio tetraiodothyronin metric tonn four diseas littl triiodothyronin uniti tercet tetrad mt deuc foursom thyroxin triniti 1 monophosph 3 2 ton 4 ternari three singl t triplet terzetto patholog morbid quadruplet troika threesom quaternion two liothyronin ace one iii ternion ii thymin quaternari i trine trey p tierc deoxythymidin quatern iv triad leash quartet joe
d3_l102_pathological_lymph_n,ane trio thicken point one ii gland triad diseas littl microscop stagecoach uniti leaf guest tetrad deuc foursom degre triniti 1 3 2 4 ternari three leash singl morbid node triplet terzetto patholog leg tercet tierc quadruplet troika threesom quaternion two lymph phase repres iii ternion stage four ace quaternari level i l n trey p s client present quatern iv knob arrang trine quartet joe
d3_l103_pathological_lymph_n,ane thicken nought one gland zero statu leaf guest 1 0 morbid condit singl node diseas patholog uniti posit cipher lymph cypher ace i l n p s client knob
d3_l104_pathological_stage_1,ane trio point repres ii diseas littl microscop stagecoach uniti tercet tetrad deuc foursom s triniti 1 3 2 4 ternari three singl morbid triplet terzetto patholog leg quadruplet troika threesom quaternion two arrang phase degre one iii ternion stage four ace quaternari level i trine trey p tierc present quatern iv triad leash quartet joe
d3_l105_differentiation_1_2_,ane trio one ii littl iii special differenti tercet tetrad distinct deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika uniti threesom quaternion two iv specialis ternion four d quaternari i trey ace tierc quatern triad leash quartet joe
d3_l106_HPV_status_1_0,ane statu cypher ace i h nought hpv uniti 1 0 s zero posit condit one cipher singl
d3_l107_post_surgical_treatm,medicin oper stake comput carri emili price computer constitut ct ethic place prescript axial send tomographi offic station treatment mail billet discours state handl situat brand wiley spot berth william connecticut charl surgic put post postal discuss c militari servic up drug cat p s nutmeg t w posit intervent
d3_l108_clinical_follow_up_m,conform espous over month clinic follow calendar pursu abreast abid out eye come travel to take upwardli be play trace after watch postdat compli surveil succeed accompani stick fall astir along an with by on c survey f adopt m up keep u improv observ upward
d3_l109_recurrencerence_stat,metr ane mexico nought meter one nanometr cypher concentr statu nm mib megabyt micromillimet 1 0 grand new singl thousand uniti condit millimicron cipher micromillimetr recurrencer molar land yard g ace mb i of k m zero n thou s r mebibyt posit chiliad 1000 enchant nanomet
d3_l110_distant_metastasis_f,unloosen give natur month releas unblock distant aloof gratuit rid calendar select detach disembarrass liber discharg innoc exempt disengag upstag absolv peopl endur costless free devoid dislodg grati resign destitut surviv reliev relinquish d f remot of remov complimentari m up metastasi justifi s unfreez fittest barren spare the loos unloos
d3_l111_Actual_status_1_aliv,ane all bush nought dead one zero anim exist in suddenli utter cypher absolut statu perfectli activ idl 1 0 live stagnant awak condit factual singl real liter genuin utterli beat uniti alert short numb deaden abruptli a drain actual d ace i s cipher posit aliv
d3_l112_Overall_survival_mon,endur boilersuit of overal m o month s fittest suit natur calendar surviv the select boiler
d3_l113_Affymetrix_data_1_ye,ane point nought datum number one zero uniti no 1 0 nobelium singl more ye cipher atom 102 data a cypher d ace affymetrix i n inform y
d3_l114_CGH_data_1_yes_0_no_,ane point nought datum number one zero uniti no 1 0 nobelium singl more cgh ye cipher atom 102 data c cypher d ace i n inform y
d3_l115_RTPCR_data_1_yes_0_n,ane point nought datum number one zero uniti no 1 0 nobelium singl more ye cipher rtpcr atom 102 data cypher d ace i n inform r y
d3_l116_Patients_included_in,ane sketch work examin contempl anticip predict the nought disciplin number one hoosier report zero medit in canvass hit prognost analyz subject area uniti no inward state forecast 1 0 written book role includ bailiwick inch nobelium analys indiana singl take field patient read previs ye cipher let consid atom 102 affect foretel cypher ace i of 49 canva n admit p s cogit survey learn y studi more indium
d3_l117_4_gene_prediction_st,dispirit anticip four pitch line adventur littl the 0 humili 4 factor cistron gloomi risk previs quadruplet peril moo one grim gami school quaternari h l p small quartet richli zero blue depress statu tetrad forecast crush condit jeopardi run broken quaternion joe put miser on alexand ace of david s foretel gene gamey first tone lowli danger nought height down downheart low gear infect abject mellow gambl spirit exposur cypher g emin up posit r endanger ane predict iv high chanc in cecil sir uniti luxuri foursom 1 take singl prognost hazard modest cipher mouth lay highschool humbl a scummi i downcast scurvi quatern deplet senior
d3_l118_4_genes_prediction_s,anticip predict conquest nock iv four mark sexual tetrad make grievanc foursom littl forecast grade score music 4 factor cistron hit previs quadruplet prognost quaternion joe talli account quaternari g seduc up grudg quartet p s quatern foretel gene scotch rack
d3_l119_Affymetrix_sample_se,typefac flesh shape human go font 1 incas fix fig exercis under 8 local build do digit band envis enter tri coiffur grammat name showcas public localis adjust singl fount trope set visualis soma frame see sampl 81 event jell project pattern forecast figur estim causa correct vitrin pose subject bodi arrang put compositor lawsuit stage on c solidifi ace of materi count s instanc place bod pillow pillowcas number one down fanci eccentr coiff pictur solidif mark fructifi suit lxxxi type shell circl form imag specifi visual congeal case cypher f prepar work up charact harden defin calcul limit posit design display ane comput bent readi coif pig cure slip rig sheath face dress gear uniti s3 s2 s1 physiqu sic speech encas out countersink anatomi plant typesett distribut reckon chassi cipher lay eighti physic a affymetrix i lot seth typeset caus exampl determin guinea tast
d3_l120_RTP_CR_sample_sets_1,typefac rtp 134 go font 24 1 incas fix exercis under local do band tri coiffur grammat fount localis adjust showcas set sampl event jell guinea causa correct vitrin pose subject put compositor lawsuit stage c solidifi s instanc place pillow pillowcas number down cr chromium eccentr coiff solidif mark fructifi suit type shell gear specifi atom case prepar up charact harden defin r limit posit arrang display bent readi pig cure slip sheath rig face dress s3 s2 s1 sic circl congeal encas out countersink plant typesett distribut lot lay coif seth typeset caus exampl determin tast
d3_l121_Filename,filenam comput name file f
d4_l122_Tu_vs_NL_cancer,cinqu cancer quint number volt malign vs quintuplet fivesom pentad nl 23 neoplast tu littl 5 crab phoeb fin diseas quintet five atom c vanadium genu n t v the
d4_l123_Age_diagnosis,a on matur geezerhood d get diagnos age year diagnosi histor long period senesc eld time old
d4_l124_Gender_Male_Female,femal manli g f gender m grammat distaff sex person manlik viril male sexual man
d4_l125_Smoking_Status_curre,old stream fume one current statu sometim late other neversmok electr condit earli previou quondam former onetim c erstwhil f flow n s smoke time posit
d4_l126_OC_vs_OP_oral_cavity,cinqu quint number voce volt unwritten cavum quintuplet fivesom pit pentad decay littl oropharynx phoeb caviti 5 fin exam quintet dental cari enclos examin atom bodili viva c vanadium 23 oc space o tooth vs v five oral op
d4_l127_T_stage_1_2_3_4,ane trio repres point tetraiodothyronin metric one four liothyronin littl microscop stagecoach triiodothyronin uniti present tercet tetrad mt deuc foursom three triniti 1 monophosph 3 2 ton 4 ternari singl t triplet terzetto leg tierc quadruplet troika threesom quaternion thyroxin arrang phase degre tonn iii ternion stage ii thymin quaternari level i trine trey ace s deoxythymidin quatern iv triad leash quartet two joe
d4_l128_cN_stage_0_1_2_2b_2c,ane cn point nought repres ii zero microscop stagecoach uniti deuc two 1 0 2 singl leg cipher phase degre one present stage c cypher ace level i s 2b 2c arrang
d4_l129_pN_stage_0_1_2b_2c,ane point nought repres zero microscop stagecoach uniti s 1 0 2 pn singl leg cipher phase one present stage cypher ace level i p degre 2b 2c arrang
d4_l130_DM_0,dm d decimetr mellitu nought 0 zero cypher cipher decimet diabet
d4_l131_ecs_y_n,newton number ec due nitrogen eu market northward europ commun union econom 7 european yttrium north normal atom 39 e n wye common y eec
d4_l132_treatment_S_cRT_RT_I,ohm reciproc entropi intellig random number second nineti sec ic unit ray rt commun tube southward due state treatment sulfur discours handl nation 99 atom sulphur discuss mho c cathod crt 16 i siemen s r nine t intervent south
d4_l133_diagnosis_date,appoint stamp d diagnos of diagnosi month go see escort particular date the out steadi day engag
d4_l134_tx_date,appoint star d tx stamp of engag lone see texa month go state t escort particular date the steadi day out
d4_l135_local_recurrence_0_1,topic cipher cypher return anesthet ace ane i nought anaesthet l uniti one 1 0 zero r local recurr singl
d4_l136_local_recurrence_dat,engag month topic see go out anesthet stamp recurr escort local return anaesthet particular date day appoint d of l r the steadi
d4_l137_nod_al_recurrence_0_,ane aluminium heart nought al one zero dixi uniti camellia 1 0 state singl return nod number cipher atom recurr a 13 cypher aluminum ace i of n r alabama
d4_l138_nod_recurrence_date,appoint return d nod of engag n stamp see r escort go particular date the month steadi recurr day out
d4_l139_DM,dm d mellitu decimetr decimet diabet
d4_l140_DM_date,appoint dm stamp d engag of particular month diabet decimetr see escort go mellitu date the steadi day decimet out
